rumor,truth,published_date,origin,url
上海发生持刀伤人事件,近日，有网民声称“虹口足球场8月24日举办活动时发生持刀伤人案件”。经上海公安部门核查，当日活动现场未发生此类案件，该信息系谣言。目前，警方正在追查造谣人员，并将严格依法予以处罚。,2024年8月26日,东方网,https://www.piyao.org.cn/20240826/b3ca685b5f2e4e268dd613aa8e6c6eff/c.html
吃玉米能降血糖,这种说法过于草率。一方面，玉米本身含不少营养，还含有不少膳食纤维，加上升糖指数是中等水平，确实能作为健康饮食的一部分，可以替代一部分米面主食。但另一方面，玉米本身就含有大量碳水化合物，消化过程中会转化为葡萄糖，这仍会影响血糖水平，还有些甜玉米专门就是为了提高含糖量培育的，如果吃的比较多，对血糖的影响不小。而有些朋友喜欢将玉米榨汁饮用，玉米汁的升糖指数比玉米更高，对血糖的影响更大。因此，我们不能简单地认为吃玉米就能降血糖。,2024年8月26日,科学辟谣平台,https://www.piyao.org.cn/20240826/b3ca685b5f2e4e268dd613aa8e6c6eff/c.html
重庆彭水突发森林火灾,8月21日，某网民发布视频并配文“彭水保家突发森林火灾”，引发关注。经属地网信部门核实，重庆彭水近期未发生此类事件，网传信息系谣言。目前，谣言线索已转交相关部门对造谣者进行进一步调查处置。,2024年8月23日,@重庆辟谣,https://www.piyao.org.cn/20240823/e4506d6010584bfba14e70b4dbc44335/c.html
喝红酒能软化血管,有说法称“红酒中富含白藜芦醇、花青素、单宁等抗氧化剂，所以喝红酒可以软化血管”，但其实这是不对的。离开剂量谈作用是不科学的，这些物质对于降血脂有一定作用，但前提是摄入量要足够，红酒中所含的这些营养素少之又少，想靠每天喝杯红酒来保护血管，避免硬化，根本达不到目的。另外，多项研究已经证实，酒精与心血管疾病、癌症等多个疾病有直接关联，摄入酒精无论多少对人体都是有害的。,2024年8月23日,@科学辟谣,https://www.piyao.org.cn/20240823/e4506d6010584bfba14e70b4dbc44335/c.html
重庆市丰都县一工地有工人中暑身亡,近日，重庆市丰都县网民余某某发布某工地的视频并配文“黑心老板，中午不让员工休息，中暑两个，死了一个”。经当地网信部门核实，该工地近期并未发生此类事件，网传信息系谣言。目前，丰都县警方已依法对余某某予以行政处罚。,2024年8月22日,重庆辟谣,https://www.piyao.org.cn/20240822/a6d6b44305614fb68531d023fc828868/c.html
跷二郎腿就会导致静脉曲张,下肢静脉曲张多与遗传、肥胖、年龄有关，现在没有研究证明跷二郎腿会直接导致下肢静脉曲张。但跷二郎腿可能会对血液循环产生一定的影响，会使下肢静脉受到压迫，导致静脉回流更加不畅，尤其对已经有静脉曲张的人来说，会进一步加重静脉曲张的症状。此外，跷二郎腿会使骨盆倾斜，腰椎受压不均，久而久之导致脊柱侧弯。跷二郎腿会让内侧间室长时间受压，导致软骨受损，增加发生骨性关节炎的风险等。为了预防静脉曲张的发生，我们应保持健康的生活方式和良好的坐姿习惯，无论是原地站立或坐着，都应避免长时间保持同一姿势，应适时变换姿势以促进下肢血液循环。,2024年8月22日,科学辟谣,https://www.piyao.org.cn/20240822/a6d6b44305614fb68531d023fc828868/c.html
四川凉山木里突发森林大火,近日，有网民在短视频平台上发布视频，并配以“四川凉山木里突发森林大火，四川森林消防总队紧急出动42辆消防车，400余名消防指战员奔赴现场”的文字。当地网信部门联动应急管理局进行查核，证实四川凉山木里近日未发生森林大火。,2024年8月21日,四川互联网举报辟谣平台,https://www.piyao.org.cn/20240821/64bcc5644a35439a85ade5083e89cf99/c.html
夜尿频多，就是肾不好,并非如此。导致夜尿增多的因素有很多，主要有两种情况：生理性和病理性。首先，从生理角度来看，睡前水分摄入过多，如喝大量水、饮料、啤酒，都可能会出现夜尿次数增多、尿量增多的情况。精神紧张或压力增加，也可能出现夜尿增多。此外，夜尿增多是老年人常见的问题之一，其发生率会随着年龄增加而增高，尤其年过70，有超过一半的人会出现夜尿增多的问题。但这不一定是肾脏出现了问题，与年龄相关的生理结构、激素、组织学改变是老年人出现夜尿增多的重要因素。其次，病理因素也是导致夜尿增多的重要原因，如糖尿病、尿路感染都会引起尿量增多，导致夜尿频次增多。所以，夜尿频多可能与肾脏疾病有关，但并不能单凭这一症状就断定是肾脏不好，肾脏疾病的诊断需要综合考虑多个方面的因素。,2024年8月21日,“科学辟谣”微信公众号,https://www.piyao.org.cn/20240821/64bcc5644a35439a85ade5083e89cf99/c.html
青岛崂山水库污染严重，鱼类漂浮成灾,崂山水库是青岛市重要水源地。近期，有网民在短视频平台发布视频称，“崂山水库旁白沙河鱼在岸边泛滥成灾了”，视频中水质浑浊，不少死鱼漂浮在水面，引发关注。对此，青岛市生态环境局崂山分局执法人员会同崂山水库管理处和属地街道对崂山水库周边地区进行排查，通过当地居民辨认，确定视频中相关建筑和周边植被生长情况不在崂山区。日前，青岛崂山警方已将犯罪嫌疑人霍某等4人先后抓获。经查，霍某为博取眼球、吸引流量，使用不明地点水污染视频，通过“移花接木”手段虚构事实，编造了“青岛崂山水库被严重污染”的网络谣言。,2024年8月20日,山东互联网联合辟谣平台,https://www.piyao.org.cn/20240820/95c528ef2eb8451b9b3bb7879f80df5e/c.html
运动后半小时内吃东西会变胖,此说法不准确。事实上，运动后半小时内是能量补给的最佳时机。此时身体处于能量亏损状态，摄入的食物很快会被身体吸收利用，而不是转化成脂肪。而且，如果不吃东西，人体就没有原材料用于合成肌肉、骨骼等，不利于身体健康。在运动后半小时内，人体可以适当摄入蛋白质、糖类、纤维素，如水果、鸡蛋、瘦肉、牛奶等，也可以适量食用一些坚果，但不能放开了吃，摄入量要与自己的体能消耗量相适应。建议在有氧运动后，适当增加简单的碳水化合物和少量蛋白质；力量训练后，适当增加蛋白质和碳水化合物的摄入。此外，在大量出汗后，还要适当补充电解质和微量元素。,2024年8月20日,“健康中国”微信公众号,https://www.piyao.org.cn/20240820/95c528ef2eb8451b9b3bb7879f80df5e/c.html
湖南博物院的辛追夫人曲裾式素纱单衣被盗,今年是长沙马王堆汉墓考古发掘50周年，湖南博物院特别推出“彼美人兮——两汉罗马时期女性文物展”，其中一件展品——辛追夫人的曲裾式素纱单衣引发部分网友的疑惑：“这件衣服不是被盗、被毁了吗？”“是真品吗？还是复制品？”对此，湖南博物院辟谣称，辛追夫人曲裾式素纱单衣从未被盗，一直都在文物库房精心保存。事实上，辛追夫人共有两件素纱单衣出土，一件是直裾式素纱单衣，49克，另一件是曲裾式素纱单衣，48克，更轻更大。此次是曲裾式素纱单衣自出土以来的首次展出。据马王堆汉墓文物部门介绍，曾经被盗的是直裾式素纱单衣，追回后也不断在展出。曲裾式素纱单衣则一直完好保存在库房。,2024年8月19日,“湖南省互联网举报中心”微信公众号,https://www.piyao.org.cn/20240819/e5dc0eeb1cd3459baba2ba71ca6903de/c.html
重庆某工厂煤气泄漏引发剧烈爆炸,近日，某网民发布视频并配文称“中国重庆某工厂煤气泄漏剧烈爆炸”，视频画面显示，事故现场冒出巨大火球和滚滚浓烟，引发关注。经向重庆市应急管理局核实，重庆近期未发生此类事件，网传信息系谣言。,2024年8月16日,重庆辟谣,https://www.piyao.org.cn/20240816/843a2fa89eda42c5aeadff863e87e422/c.html
湖南长沙一辆大巴车坠崖51人丧命,近日，某网络平台出现一则“湖南长沙，一辆大巴坠崖，51人全部葬命”的视频信息。经多方核实，长沙未发生此类事件，系谣言信息。网信部门已将谣言线索移交公安机关，将依法依规进行处理。,2024年8月16日,湖南省互联网举报中心,https://www.piyao.org.cn/20240816/843a2fa89eda42c5aeadff863e87e422/c.html
经常张口呼吸会变丑，用“闭嘴贴”就有用,不要这么做。通常只有孩子长期口呼吸，才可能导致面部发育问题，况且这种情况也并不常见。而且，口呼吸只是表面现象，深层次原因往往是人鼻腔呼吸受阻，如果只是简单粗暴地使用所谓的“闭嘴贴”，却没有解决呼吸受阻的问题，则可能导致使用者睡眠质量降低，或让其出现缺氧、呼吸暂停甚至窒息等问题。因此，如果怀疑自己或孩子有口呼吸现象时，应第一时间去专业医院检查确认，再根据病因以及所处的生长发育阶段、面部发育受影响的情况，遵循医生指导进行有针对性的诊疗。,2024年8月16日,科学辟谣,https://www.piyao.org.cn/20240816/843a2fa89eda42c5aeadff863e87e422/c.html
重庆梁平有人在洪水中吃酒席,近日，有网民发布一段涨洪水的视频，配文称“同事生4胎喊我来吃酒，随了200块半天不上菜”，并在评论区称事发地在重庆市梁平区，引发关注。经警方核实，该网民发布的视频及文字均为捏造的谣言信息，系梁平区网民黎某为博取关注、吸引流量，将发生在外地的洪水视频“移花接木”，编造梁平发生“涨洪水吃酒席，随礼不上菜”谣言，扰乱社会秩序。目前，梁平警方已依法对黎某予以行政处罚。,2024年8月15日,“重庆辟谣”微信公众号,https://www.piyao.org.cn/20240815/145fd3a3e7bf478a9edcfa11d72c34f5/c.html
内蒙古包头一地收取中介费可申请公租房,近期，有不法分子声称可“收取中介费办理青山区公租房事宜”。对此，内蒙古包头市青山区住房和城乡建设局发布声明称，该信息属于诈骗信息。同时提醒广大网民，请务必按照官方发布的《青山区公共租赁住房申请受理的通告》中的申请条件和申请流程申请公共租赁住房，任何非官方渠道获取公共租赁住房的信息均为虚假信息，谨防上当受骗。,2024年8月15日,@内蒙古互联网举报中心、“包头发布”微信公众号,https://www.piyao.org.cn/20240815/145fd3a3e7bf478a9edcfa11d72c34f5/c.html
黑痣越多，癌变的可能性越大,上述说法不正确。首先，痣的数量并不代表任何问题。每个人身上普遍都有5～20颗痣，随着年龄增长，每个人身上的痣都有可能增加，即使有些人身上有好几十颗痣，也是正常情况。其次，不是所有的黑色素痣都会癌变，演变成为黑色素瘤。黑色素痣恶变为黑色素瘤的概率在1∶100万左右，是非常低的。虽然恶变的可能性小，但黑色素瘤是死亡率最高的皮肤恶性肿瘤，占所有皮肤癌死亡患者的60%～70%。黑色素瘤早期可以通过淋巴结转移，一旦发生转移，患者生存率极低。因此，早发现、早预防、早治疗是最好的办法。,2024年8月15日,“人卫健康”微信公众号,https://www.piyao.org.cn/20240815/145fd3a3e7bf478a9edcfa11d72c34f5/c.html
吉林一屠夫因土地纠纷杀害12人,近日，有网民在某视频平台发布视频称：“吉林省发生了一起刑事案件，有一名55岁的屠夫，因为土地矛盾纠纷问题，手持杀猪刀杀害了12个人，屠夫在逃亡途中跑到山林里被警方抓获。”该视频内容短时间内引起公众大量关注和讨论。经警方调查发现，视频中所称案发地并未发生此类案件，这则消息纯属子虚乌有，系黑龙江大庆网民吕某为了博取关注、吸引流量而编造发布的谣言。目前，大庆市公安机关已依据相关法律法规对吕某给予行政处罚。,2024年8月14日,大庆市委网信办,https://www.piyao.org.cn/20240814/fdfdf933ea09487f855361c17f044f99/c.html
一勺猪油等于五服药,这个说法实属无稽之谈。油好不好，要看脂肪酸的种类。猪油、牛油、羊油等动物脂肪中含饱和脂肪酸多，常温下呈固态。饱和脂肪酸中含有较多的胆固醇，摄入过多会导致血胆固醇、甘油三酯及低密度脂蛋白胆固醇升高，增加心血管疾病的风险。大豆油等植物油中不饱和脂肪酸较多，常温下呈液态。不饱和脂肪酸在体内具有降低血脂、改善血液循环、抑制血小板聚集、阻止动脉粥样硬化斑块和血栓形成等功效，有益于心血管疾病的防治。日常饮食应以植物油为主，并且经常更换烹调油的种类，让营养更全面。,2024年8月14日,“健康中国”微信公众号,https://www.piyao.org.cn/20240814/fdfdf933ea09487f855361c17f044f99/c.html
上海地铁1号线有人持刀致部分乘客集中下车,8月13日，有网民在社交媒体反映，上海地铁1号线行驶至黄陂南路站时，车上乘客突然朝着一侧车厢奔跑，评论区有网民称系“车上有人持刀”所致。对此，“上海地铁”通过官方账号作出回应，“8月13日9时30分左右，1号线一大会址·黄陂南路站（往富锦路站方向）一列车内有乘客突发疾病，部分乘客受此影响集中下车。后车站工作人员协同民警将其带下车。期间没有人员受伤，未造成运营晚点。”,2024年8月13日,“上海网络辟谣”微信公众号,https://www.piyao.org.cn/20240813/b18273cc0e194a8f9a66892b53a9a451/c.html
晒太阳会让头发变白,该说法不严谨。实际上，头发变白与年龄、基因、种族、本身的发色等关系较大，个别时候，可能和紫外线、压力大、吸烟、服药、营养不良、免疫疾病等有关系。虽然，医学数据库上可以看到紫外线对老鼠的毛发有负面影响，但这是基于理想条件下的动物实验，相关结论不能简单复制到人身上。更何况，如今尚无任何有关日晒和白头发人群之间联系的研究。,2024年8月13日,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240813/b18273cc0e194a8f9a66892b53a9a451/c.html
重庆某小区购买车位即可入读名校,近日，某网民发布信息称“在重庆某小区购买车位即可入读宏八、鲁巴等名校”，引发关注。经当地有关部门核实，该信息系虚假宣传，相关学校并未与该小区签订合作协议，购买车位入读名校纯属“子虚乌有”。,2024年8月12日,“重庆辟谣”微信公众号,https://www.piyao.org.cn/20240812/7526785c659f40fb8f93863c40d6085f/c.html
内蒙古呼和浩特市公租房可办理到个人名下,近期，有网民在微信朋友圈发布信息称，内蒙古呼和浩特市“现有几套公租房可直接办理到个人名下”，并对公租房明码标价：“公租房精装带家具家电的33000元，普通装修的28000元”。对此，呼和浩特市住房和城乡建设局郑重声明：该信息属于谣传虚假信息。同时提醒广大网民，一定要按照《呼和浩特市公共租赁住房管理办法》中的申请条件和申请流程去申请公共租赁住房，任何非官方渠道获取公共租赁住房的信息均为虚假信息，谨防上当受骗。如已造成经济损失，请及时向公安部门举报案件线索。,2024年8月12日,@内蒙古互联网举报中心、呼和浩特市住房和城乡建设局官网,https://www.piyao.org.cn/20240812/7526785c659f40fb8f93863c40d6085f/c.html
户外遇到雷电天气了，要远离大树跑到空旷的地方,该说法不准确。遇到雷雨天气远离大树是正确的，但是也不应当跑到空旷地带。,2024年8月12日,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240812/7526785c659f40fb8f93863c40d6085f/c.html
深圳市劳动仲裁“熔断”,最近，“深圳劳动仲裁熔断”“深圳市劳动人事争议仲裁委员会网上递交数量已达上限”等消息在多个网络平台传播，引发关注。深圳市人力资源和社会保障局表示，此消息纯属谣言。目前，深圳市劳动仲裁服务平台没有此类提示语，仲裁案件数量未见异常波动，受理及庭审工作均有序进行，市民可通过预约（现场）递交、邮寄递交和网上递交三种仲裁申请途径正常获得服务。网络流传的截图系今年年初系统升级期间的提示旧图。目前，网上递交功能已进行优化，且并未设置数量限制。,2024年8月9日,广东省互联网举报中心,https://www.piyao.org.cn/20240809/1a83332d939140e38ea5e0acecc40138/c.html
舌尖尝甜，舌根尝苦,网上流传的所谓“味觉地图”，称舌尖对甜味最敏感，舌根更能感受到苦味，舌头两侧负责品尝酸咸……实际上，上述说法纯属误读，在人类的味觉系统中，并不存在这样的“地图”。科学家们发现味觉其实是通过分布在味蕾上的味觉受体细胞来感知的。在舌头上的味蕾中，这些味觉受体细胞的分布并没有显著的区位性差异，每个位置都可以感知到各种味道。,2024年8月9日,科学辟谣,https://www.piyao.org.cn/20240809/1a83332d939140e38ea5e0acecc40138/c.html
四川雅安芦山县发生山洪灾害致三十多人失联,近日，有网民发视频称，四川省雅安市芦山县发生一起严重的山洪灾害，目前已有三十多人失联。经当地网信部门核实，芦山县近日未发生山洪灾害，也无人员失联等情况。请广大网民从官方渠道获取权威信息，对于网络来源不明信息，不得随意转发或发布。,2024年8月8日,四川互联网举报辟谣平台、芦山融视听,https://www.piyao.org.cn/20240808/613b5622f0dc471abf5ceeda8794debe/c.html
四川遂宁一高速隧道口垮塌,近日，有网民在社交账号上发布隧道坍塌视频，并配文“四川遂宁高速隧道口塌方瞬间，一小汽车惊险逃生”，引发关注。经核实，该消息系谣言。原视频为2022年7月5日，在四川汶马高速马尔康往汶川方向的通化1号隧道口发生的山体滑坡事件，当时未造成人员伤亡。,2024年8月7日,四川互联网举报辟谣平台,https://www.piyao.org.cn/20240807/44caa9bc12d9416bafaff2994cdb5aca/c.html
重庆黔江发生5.2级地震,8月5日，某网民发布视频并配文“重庆市黔江区发生了5.2级地震”，引发关注。经向重庆市地震局、黔江区应急管理局核实，黔江区近期未发生地震，网传信息系谣言。,2024年8月6日,“重庆辟谣”微信公众号,https://www.piyao.org.cn/20240806/b50ea956cf8a47debc8e04b317b13415/c.html
暴雨致北京昌平两男子踩树干顺流而下,近日，有自媒体账号发布标题为《北京市昌平区版西天取经》的视频，内容为两名男子脚踩树干顺流而下。经核实，该视频为广东东莞某街道积水视频，被移花接木编造谣言称事发于北京市昌平区。,2024年8月6日,“北京网络举报”微信公众号,https://www.piyao.org.cn/20240806/b50ea956cf8a47debc8e04b317b13415/c.html
西瓜和小龙虾一起吃会中毒,并非如此。西瓜富含维生素C，小龙虾肉质中含有五价砷化合物。有人认为，如果同时食用西瓜和小龙虾，维生素C会将五价砷氧化成三价砷，也就是三氧化二砷，俗称砒霜，会让人中毒。实际上，在正常饮食的情况下，二者一起食用中毒的风险极低。具体来讲，维生素C将五价砷氧化成三价砷有特定条件，包括高浓度的维生素C和适当的pH值（溶液的酸碱度），而人体消化系统内的pH值和环境并不满足以上条件。此外，人体内有多种机制可以有效排除少量的砷化合物。需要提醒的是，小龙虾烹调方式多样，口味大多辛辣油腻，会给消化系统带来负担，和水果一起大量食用可能导致肠胃不适，如腹痛、腹泻，但这和砷化物中毒没有直接关系。,2024年8月6日,“健康中国”微信公众号,https://www.piyao.org.cn/20240806/b50ea956cf8a47debc8e04b317b13415/c.html
喝绿茶能抵御电脑辐射,喝绿茶不能抵御电脑辐射。这种说法缺乏科学依据，且误导性很强。绿茶确实富含抗氧化物质，如儿茶素，这些成分对人体健康有诸多好处，比如增强免疫力、减缓衰老、降低心血管疾病风险等。然而，抗氧化物质并不能阻挡或减弱电脑辐射对人体的影响。,2024年8月5日,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240805/4f9d97fc8c5c4557a5b9abe2abdb3734/c.html
辽宁鞍山山洪暴发，马路成水上乐园,近日，网民王某利用群众对汛情的关注，从网络上下载来源不明的道路积水视频，并以“这也太吓人了，山洪暴发了，马路成水上乐园了”为标题在网上发布。视频引发24万次浏览、百余条评论，严重扰乱社会秩序。辽宁省鞍山市海城网信办联合公安部门依法对王某作出罚款500元的处罚，并责令其删除谣言视频。,2024年8月2日,“网信鞍山”微信公众号,https://www.piyao.org.cn/20240802/22e0c6c12f6745dfa1ef868d9d45bc5a/c.html
走路时膝盖突然一“软”，是腿出问题了,走路时膝盖突然“软”一下，可能是多方面原因造成。,2024年8月2日,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240802/22e0c6c12f6745dfa1ef868d9d45bc5a/c.html
广西暴雨过后，家长启动“海陆两栖战车”去学校接娃,近日，有网民在网络平台发布一条大量电动车、摩托车被洪水浸泡的短视频，并配文称“广西暴雨过后家长纷纷启动海陆两栖战车去学校接娃”。经当地网信部门查证，该视频内容为谣言，系网民刘某为博眼球赚流量，借国外发生洪灾视频编造虚假信息进行传播，对社会公共秩序造成不良影响。目前，警方已依法对刘某处以行政处罚。,2024年8月1日,“广西互联网违法和不良信息举报”微信公众号,https://www.piyao.org.cn/20240801/43678a4b34fb4ad1bf093a57a99eaf02/c.html
长期使用洗洁精对身体有害,所谓的“洗洁精致癌”，其实应该是甲醛超标的、不合格的洗洁精会致癌。近年来，洗洁精产品的研发技术已相对成熟，市场抽查的合格率也相当之高，几乎没有甲醛超标的问题。因此，只要是在正规渠道购买的合格产品，都可以放心使用。,2024年7月30日,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240730/6fccae2b56604d69aa1b233a6162d74b/c.html
